Test	Accuracy	Time
rf_log2_4_20	91.6	0.026700973510742188s
rf_log2_4_25	92.8	0.03256964683532715s
rf_log2_4_30	91.6	0.03780508041381836s
rf_log2_4_35	92.0	0.0437319278717041s
rf_log2_4_40	92.0	0.05844473838806152s
rf_log2_4_45	92.0	0.08687305450439453s
rf_None_1_5	91.6	0.007541179656982422s
rf_None_1_10	92.0	0.02006697654724121s
rf_None_1_15	90.8	0.02171468734741211s
rf_None_1_20	92.4	0.03113269805908203s
rf_None_1_25	90.8	0.03954601287841797s
rf_None_1_30	91.6	0.04598498344421387s
rf_None_1_35	91.2	0.05289459228515625s
rf_None_1_40	92.0	0.05859827995300293s
rf_None_1_45	91.6	0.07329249382019043s
rf_None_2_5	91.2	0.009318351745605469s
rf_None_2_10	90.4	0.014926910400390625s
rf_None_2_15	91.2	0.022830724716186523s
rf_None_2_20	92.0	0.03152871131896973s
rf_None_2_25	91.6	0.03578829765319824s
rf_None_2_30	92.0	0.0436553955078125s
rf_None_2_35	92.0	0.054976463317871094s
rf_None_2_40	91.2	0.059839487075805664s
rf_None_2_45	91.6	0.06781697273254395s
rf_None_3_5	92.8	0.00759124755859375s
rf_None_3_10	92.0	0.022216796875s
rf_None_3_15	92.0	0.02093982696533203s
rf_None_3_20	92.0	0.029803752899169922s
rf_None_3_25	91.2	0.0358576774597168s
rf_None_3_30	91.2	0.0415341854095459s
rf_None_3_35	92.0	0.06596207618713379s
rf_None_3_40	92.4	0.05891823768615723s
rf_None_3_45	91.6	0.06438970565795898s
rf_None_4_5	92.4	0.008339405059814453s
rf_None_4_10	92.4	0.01469278335571289s
rf_None_4_15	91.6	0.021941423416137695s
rf_None_4_20	91.6	0.033380985260009766s
rf_None_4_25	91.6	0.037744760513305664s
rf_None_4_30	91.6	0.04310941696166992s
rf_None_4_35	91.2	0.049759864807128906s
rf_None_4_40	91.6	0.06120419502258301s
rf_None_4_45	92.4	0.08128976821899414s
ab_SAMME_10	91.2	0.01595330238342285s
ab_SAMME_20	92.4	0.02770066261291504s
ab_SAMME_30	92.0	0.03949713706970215s
ab_SAMME_40	92.4	0.056220293045043945s
ab_SAMME_50	92.4	0.06392192840576172s
ab_SAMME_60	92.4	0.07704901695251465s
ab_SAMME_70	92.4	0.09715652465820312s
ab_SAMME_80	92.4	0.1038961410522461s
ab_SAMME_90	92.4	0.11363863945007324s
ab_SAMME_100	92.4	0.14366936683654785s
ab_SAMME_110	92.4	0.1421213150024414s
ab_SAMME_120	92.4	0.18633651733398438s
ab_SAMME_130	92.4	0.1707470417022705s
ab_SAMME_140	92.4	0.20534348487854004s
ab_SAMME_150	92.4	0.194016695022583s
ab_SAMME_160	92.4	0.21665596961975098s
ab_SAMME_170	92.4	0.2522432804107666s
ab_SAMME_180	92.4	0.2889404296875s
ab_SAMME_190	92.4	0.2665824890136719s
ab_SAMME.R_10	91.6	0.013970136642456055s
ab_SAMME.R_20	92.4	0.029763460159301758s
ab_SAMME.R_30	92.4	0.04335641860961914s
ab_SAMME.R_40	92.4	0.05717349052429199s
ab_SAMME.R_50	92.4	0.08172202110290527s
ab_SAMME.R_60	92.4	0.09343624114990234s
ab_SAMME.R_70	92.4	0.11098456382751465s
ab_SAMME.R_80	92.4	0.11768674850463867s
ab_SAMME.R_90	92.4	0.12898468971252441s
ab_SAMME.R_100	92.4	0.1577906608581543s
ab_SAMME.R_110	92.4	0.1709439754486084s
ab_SAMME.R_120	92.4	0.18529367446899414s
ab_SAMME.R_130	92.4	0.18885350227355957s
ab_SAMME.R_140	92.0	0.22354412078857422s
ab_SAMME.R_150	92.0	0.23103642463684082s
ab_SAMME.R_160	91.2	0.24259400367736816s
ab_SAMME.R_170	91.6	0.24791717529296875s
ab_SAMME.R_180	91.2	0.2777566909790039s
ab_SAMME.R_190	92.0	0.2838623523712158s
